symbol,company_name,sector,date,open,high,low,close,volume,turnover,change_percent,source,source_url
SJLIC,SuryaJyoti Life Insurance Company Limited,Insurance,2025-04-10,443.0,447.0,438.1,440.5,22231.0,9836655.2,-0.74,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SJLIC
SJLIC,SuryaJyoti Life Insurance Company Limited,Insurance,2025-04-13,440.5,442.0,438.0,439.81,15119.0,6644778.6,-0.16,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SJLIC
SJLIC,SuryaJyoti Life Insurance Company Limited,Insurance,2025-04-15,436.2,449.8,436.2,447.05,10992.0,4900505.6,1.65,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SJLIC
SJLIC,SuryaJyoti Life Insurance Company Limited,Insurance,2025-04-16,441.2,454.2,441.2,449.21,15486.0,6950514.5,0.48,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SJLIC
SJLIC,SuryaJyoti Life Insurance Company Limited,Insurance,2025-04-17,451.8,454.8,444.0,448.47,32433.0,14617047.4,-0.16,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SJLIC
SJLIC,SuryaJyoti Life Insurance Company Limited,Insurance,2025-04-20,450.0,453.0,440.0,444.17,35191.0,15794088.4,-0.96,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SJLIC
SJLIC,SuryaJyoti Life Insurance Company Limited,Insurance,2025-04-21,440.0,448.0,439.0,443.55,25743.0,11394771.2,-0.14,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SJLIC
SJLIC,SuryaJyoti Life Insurance Company Limited,Insurance,2025-04-22,440.1,445.0,439.2,441.44,23935.0,10557846.1,-0.48,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SJLIC
SJLIC,SuryaJyoti Life Insurance Company Limited,Insurance,2025-04-23,440.0,445.9,438.0,439.31,29950.0,13200388.6,-0.48,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SJLIC
SJLIC,SuryaJyoti Life Insurance Company Limited,Insurance,2025-04-24,436.0,439.6,433.2,438.02,31588.0,13781298.2,-0.29,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SJLIC
SJLIC,SuryaJyoti Life Insurance Company Limited,Insurance,2025-04-27,440.0,443.0,436.0,436.93,34297.0,15033133.9,-0.25,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SJLIC
SJLIC,SuryaJyoti Life Insurance Company Limited,Insurance,2025-04-28,435.0,439.9,431.0,436.1,35906.0,15635355.8,-0.19,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SJLIC
SJLIC,SuryaJyoti Life Insurance Company Limited,Insurance,2025-04-29,432.5,435.0,432.3,432.65,25703.0,11138387.1,-0.79,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SJLIC
SJLIC,SuryaJyoti Life Insurance Company Limited,Insurance,2025-04-30,433.0,436.9,429.0,430.29,28691.0,12355381.7,-0.55,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SJLIC
SJLIC,SuryaJyoti Life Insurance Company Limited,Insurance,2025-05-04,429.0,432.0,427.0,428.44,37195.0,15937619.7,-0.43,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SJLIC
SJLIC,SuryaJyoti Life Insurance Company Limited,Insurance,2025-05-05,425.0,433.5,425.0,428.87,19972.0,8546837.3,0.1,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SJLIC
SJLIC,SuryaJyoti Life Insurance Company Limited,Insurance,2025-05-06,429.0,435.0,429.0,430.06,14662.0,6327356.7,0.28,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SJLIC
SJLIC,SuryaJyoti Life Insurance Company Limited,Insurance,2025-05-07,427.0,443.0,427.0,441.68,28970.0,12580009.7,2.7,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SJLIC
SJLIC,SuryaJyoti Life Insurance Company Limited,Insurance,2025-05-08,436.0,442.9,435.3,438.14,18454.0,8082458.7,-0.8,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SJLIC
SJLIC,SuryaJyoti Life Insurance Company Limited,Insurance,2025-05-11,440.0,443.0,430.0,433.41,37162.0,16132792.1,-1.08,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SJLIC
SJLIC,SuryaJyoti Life Insurance Company Limited,Insurance,2025-05-13,438.0,445.0,430.1,435.67,20395.0,8937285.4,0.52,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SJLIC
SJLIC,SuryaJyoti Life Insurance Company Limited,Insurance,2025-05-14,433.3,438.0,432.0,433.02,13094.0,5684124.3,-0.61,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SJLIC
SJLIC,SuryaJyoti Life Insurance Company Limited,Insurance,2025-05-15,430.0,435.0,430.0,431.59,26583.0,11475081.9,-0.33,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SJLIC
SJLIC,SuryaJyoti Life Insurance Company Limited,Insurance,2025-05-18,430.0,436.0,429.0,430.42,24060.0,10372435.9,-0.27,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SJLIC
SJLIC,SuryaJyoti Life Insurance Company Limited,Insurance,2025-05-19,432.0,437.0,431.1,432.96,20929.0,9098339.8,0.59,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SJLIC
SJLIC,SuryaJyoti Life Insurance Company Limited,Insurance,2025-05-20,435.0,441.7,430.3,440.21,22625.0,9916942.7,1.67,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SJLIC
SJLIC,SuryaJyoti Life Insurance Company Limited,Insurance,2025-05-21,449.0,456.9,441.0,441.2,36960.0,16458096.8,0.22,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SJLIC
SJLIC,SuryaJyoti Life Insurance Company Limited,Insurance,2025-05-22,435.1,447.8,435.1,443.19,14415.0,6373206.9,0.45,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SJLIC
SJLIC,SuryaJyoti Life Insurance Company Limited,Insurance,2025-05-25,443.0,455.9,435.0,438.86,44193.0,19598841.4,-0.98,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SJLIC
SJLIC,SuryaJyoti Life Insurance Company Limited,Insurance,2025-05-26,447.1,447.6,440.4,442.87,21728.0,9646774.8,0.91,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SJLIC
SJLIC,SuryaJyoti Life Insurance Company Limited,Insurance,2025-05-27,435.0,446.0,435.0,437.72,19464.0,8571934.3,-1.16,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SJLIC
SJLIC,SuryaJyoti Life Insurance Company Limited,Insurance,2025-05-28,433.5,439.0,430.1,436.85,26273.0,11420197.7,-0.2,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SJLIC
SJLIC,SuryaJyoti Life Insurance Company Limited,Insurance,2025-06-02,437.4,443.8,435.0,436.18,30833.0,13500567.6,-0.15,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SJLIC
SJLIC,SuryaJyoti Life Insurance Company Limited,Insurance,2025-06-03,436.0,436.0,433.0,433.32,21776.0,9443263.0,-0.66,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SJLIC
SJLIC,SuryaJyoti Life Insurance Company Limited,Insurance,2025-06-04,431.2,435.0,430.0,430.99,13352.0,5766418.2,-0.54,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SJLIC
SJLIC,SuryaJyoti Life Insurance Company Limited,Insurance,2025-06-05,431.0,433.0,425.0,428.71,33042.0,14130130.2,-0.53,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SJLIC
SJLIC,SuryaJyoti Life Insurance Company Limited,Insurance,2025-06-08,426.0,432.0,426.0,427.26,12393.0,5297475.1,-0.34,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SJLIC
SJLIC,SuryaJyoti Life Insurance Company Limited,Insurance,2025-06-09,426.0,432.0,426.0,430.07,17863.0,7662317.7,0.66,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SJLIC
SJLIC,SuryaJyoti Life Insurance Company Limited,Insurance,2025-06-10,437.0,438.0,430.1,431.64,20052.0,8657131.2,0.37,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SJLIC
SJLIC,SuryaJyoti Life Insurance Company Limited,Insurance,2025-06-11,435.9,435.9,430.0,430.43,15840.0,6849670.4,-0.28,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SJLIC
SJLIC,SuryaJyoti Life Insurance Company Limited,Insurance,2025-06-12,430.0,434.5,427.6,432.66,26334.0,11358523.9,0.52,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SJLIC
SJLIC,SuryaJyoti Life Insurance Company Limited,Insurance,2025-06-15,438.9,438.9,430.0,430.27,16131.0,6952263.0,-0.55,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SJLIC
SJLIC,SuryaJyoti Life Insurance Company Limited,Insurance,2025-06-16,427.0,435.0,427.0,429.4,25840.0,11118707.1,-0.2,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SJLIC
SJLIC,SuryaJyoti Life Insurance Company Limited,Insurance,2025-06-17,427.0,430.0,427.0,427.6,17325.0,7418425.6,-0.42,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SJLIC
SJLIC,SuryaJyoti Life Insurance Company Limited,Insurance,2025-06-18,426.0,430.0,426.0,427.42,17712.0,7570549.0,-0.04,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SJLIC
SJLIC,SuryaJyoti Life Insurance Company Limited,Insurance,2025-06-19,425.6,430.0,425.0,425.18,33683.0,14353212.9,-0.52,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SJLIC
SJLIC,SuryaJyoti Life Insurance Company Limited,Insurance,2025-06-22,425.18,429.9,422.8,423.32,21392.0,9083454.1,-0.44,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SJLIC
SJLIC,SuryaJyoti Life Insurance Company Limited,Insurance,2025-06-23,428.9,428.9,421.3,421.68,12360.0,5222602.3,-0.39,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SJLIC
SJLIC,SuryaJyoti Life Insurance Company Limited,Insurance,2025-06-24,421.6,427.0,420.3,421.43,22207.0,9390597.1,-0.06,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SJLIC
SJLIC,SuryaJyoti Life Insurance Company Limited,Insurance,2025-06-25,420.2,425.0,420.2,423.56,14825.0,6257234.7,0.51,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SJLIC
SJLIC,SuryaJyoti Life Insurance Company Limited,Insurance,2025-06-26,420.6,428.0,420.2,423.67,10241.0,4334095.9,0.03,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SJLIC
SJLIC,SuryaJyoti Life Insurance Company Limited,Insurance,2025-06-29,421.1,429.0,420.0,426.86,18678.0,7895440.2,0.75,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SJLIC
SJLIC,SuryaJyoti Life Insurance Company Limited,Insurance,2025-06-30,426.6,434.0,426.6,427.59,11095.0,4759382.2,0.17,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SJLIC
SJLIC,SuryaJyoti Life Insurance Company Limited,Insurance,2025-07-01,431.2,431.2,425.0,428.1,16280.0,6961693.2,0.12,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SJLIC
SJLIC,SuryaJyoti Life Insurance Company Limited,Insurance,2025-07-02,428.0,447.0,425.5,445.11,67372.0,29722084.8,3.97,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SJLIC
SJLIC,SuryaJyoti Life Insurance Company Limited,Insurance,2025-07-03,445.6,456.0,439.0,451.59,58271.0,26251887.3,1.46,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SJLIC
SJLIC,SuryaJyoti Life Insurance Company Limited,Insurance,2025-07-06,460.6,460.6,445.1,446.03,34357.0,15429337.9,-1.23,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SJLIC
SJLIC,SuryaJyoti Life Insurance Company Limited,Insurance,2025-07-07,444.0,445.0,438.3,439.69,21678.0,9554820.9,-1.42,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SJLIC
SJLIC,SuryaJyoti Life Insurance Company Limited,Insurance,2025-07-08,439.69,441.4,435.0,439.75,16484.0,7231736.1,0.01,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SJLIC
SJLIC,SuryaJyoti Life Insurance Company Limited,Insurance,2025-07-09,436.1,444.9,436.1,440.96,20589.0,9071393.9,0.28,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SJLIC
SJLIC,SuryaJyoti Life Insurance Company Limited,Insurance,2025-07-10,440.2,446.0,440.2,443.82,43902.0,19505251.9,0.65,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SJLIC
SJLIC,SuryaJyoti Life Insurance Company Limited,Insurance,2025-07-13,452.6,456.8,446.2,448.45,50940.0,23003916.5,1.04,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SJLIC
SJLIC,SuryaJyoti Life Insurance Company Limited,Insurance,2025-07-14,452.0,452.0,440.0,441.34,17566.0,7758853.9,-1.59,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SJLIC
SJLIC,SuryaJyoti Life Insurance Company Limited,Insurance,2025-07-15,435.0,445.9,435.0,444.47,31417.0,13906962.7,0.71,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SJLIC
SJLIC,SuryaJyoti Life Insurance Company Limited,Insurance,2025-07-16,450.0,450.9,440.0,446.69,97441.0,43340764.3,0.5,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SJLIC
SJLIC,SuryaJyoti Life Insurance Company Limited,Insurance,2025-07-17,455.0,464.0,455.0,462.0,70821.0,32683669.0,3.43,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SJLIC
SJLIC,SuryaJyoti Life Insurance Company Limited,Insurance,2025-07-20,468.0,476.0,455.9,461.56,79871.0,37373730.9,-0.1,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SJLIC
SJLIC,SuryaJyoti Life Insurance Company Limited,Insurance,2025-07-21,455.0,465.0,455.0,462.17,45360.0,20888141.8,0.13,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SJLIC
SJLIC,SuryaJyoti Life Insurance Company Limited,Insurance,2025-07-22,462.0,488.0,462.0,484.15,102603.0,49062097.1,4.76,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SJLIC
SJLIC,SuryaJyoti Life Insurance Company Limited,Insurance,2025-07-23,483.0,488.0,472.2,480.64,81290.0,38934870.8,-0.72,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SJLIC
SJLIC,SuryaJyoti Life Insurance Company Limited,Insurance,2025-07-24,476.3,479.7,470.1,475.76,47880.0,22763142.3,-1.02,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SJLIC
SJLIC,SuryaJyoti Life Insurance Company Limited,Insurance,2025-07-27,476.0,480.0,458.0,460.23,148900.0,69702954.0,-3.26,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SJLIC
SJLIC,SuryaJyoti Life Insurance Company Limited,Insurance,2025-07-28,460.0,467.0,453.0,463.05,69649.0,31986044.5,0.61,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SJLIC
SJLIC,SuryaJyoti Life Insurance Company Limited,Insurance,2025-07-29,464.0,478.0,464.0,467.62,83007.0,39239782.9,0.99,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SJLIC
SJLIC,SuryaJyoti Life Insurance Company Limited,Insurance,2025-07-30,472.0,475.0,458.0,459.49,47389.0,21978623.5,-1.74,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SJLIC
SJLIC,SuryaJyoti Life Insurance Company Limited,Insurance,2025-07-31,455.1,467.0,455.0,456.74,50433.0,23237418.4,-0.6,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SJLIC
SJLIC,SuryaJyoti Life Insurance Company Limited,Insurance,2025-08-03,450.1,459.0,450.1,451.63,40715.0,18451915.1,-1.12,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SJLIC
SJLIC,SuryaJyoti Life Insurance Company Limited,Insurance,2025-08-04,442.6,458.0,442.6,452.68,39869.0,17949698.1,0.23,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SJLIC
SJLIC,SuryaJyoti Life Insurance Company Limited,Insurance,2025-08-05,448.0,460.0,445.0,445.46,39037.0,17572925.2,-1.59,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SJLIC
SJLIC,SuryaJyoti Life Insurance Company Limited,Insurance,2025-08-06,454.3,454.3,440.0,443.36,30788.0,13662997.2,-0.47,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SJLIC
SJLIC,SuryaJyoti Life Insurance Company Limited,Insurance,2025-08-07,444.0,448.0,443.0,445.62,15975.0,7120428.5,0.51,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SJLIC
SJLIC,SuryaJyoti Life Insurance Company Limited,Insurance,2025-08-11,446.0,452.0,442.0,442.77,28557.0,12681739.1,-0.64,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SJLIC
SJLIC,SuryaJyoti Life Insurance Company Limited,Insurance,2025-08-12,442.0,443.0,438.0,438.53,25932.0,11413375.0,-0.96,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SJLIC
SJLIC,SuryaJyoti Life Insurance Company Limited,Insurance,2025-08-13,438.0,444.0,435.0,438.56,14606.0,6402644.6,0.01,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SJLIC
SJLIC,SuryaJyoti Life Insurance Company Limited,Insurance,2025-08-14,435.5,442.0,435.5,438.91,10714.0,4698816.7,0.08,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SJLIC
SJLIC,SuryaJyoti Life Insurance Company Limited,Insurance,2025-08-17,436.0,445.0,435.0,435.08,34718.0,15247368.7,-0.87,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SJLIC
SJLIC,SuryaJyoti Life Insurance Company Limited,Insurance,2025-08-18,426.4,440.0,426.4,436.45,17016.0,7413417.3,0.31,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SJLIC
SJLIC,SuryaJyoti Life Insurance Company Limited,Insurance,2025-08-19,435.0,445.0,435.0,437.15,17469.0,7663023.1,0.16,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SJLIC
SJLIC,SuryaJyoti Life Insurance Company Limited,Insurance,2025-08-20,443.0,443.0,431.0,435.31,13990.0,6089195.3,-0.42,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SJLIC
SJLIC,SuryaJyoti Life Insurance Company Limited,Insurance,2025-08-21,426.7,438.0,426.7,433.97,13911.0,6038053.7,-0.31,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SJLIC
SJLIC,SuryaJyoti Life Insurance Company Limited,Insurance,2025-08-24,431.2,436.0,431.2,434.59,18322.0,7958475.0,0.14,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SJLIC
SJLIC,SuryaJyoti Life Insurance Company Limited,Insurance,2025-08-25,432.0,440.0,432.0,437.33,20054.0,8724307.0,0.63,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SJLIC
SJLIC,SuryaJyoti Life Insurance Company Limited,Insurance,2025-08-26,435.0,442.5,435.0,439.19,8931.0,3929573.7,0.43,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SJLIC
SJLIC,SuryaJyoti Life Insurance Company Limited,Insurance,2025-08-27,433.2,446.0,433.2,444.39,19929.0,8809567.9,1.18,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SJLIC
SJLIC,SuryaJyoti Life Insurance Company Limited,Insurance,2025-08-28,440.1,448.0,436.2,437.03,17849.0,7880130.9,-1.66,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SJLIC
SJLIC,SuryaJyoti Life Insurance Company Limited,Insurance,2025-08-31,443.0,443.0,431.0,432.64,18953.0,8210899.0,-1.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SJLIC
SJLIC,SuryaJyoti Life Insurance Company Limited,Insurance,2025-09-01,432.0,438.0,430.5,434.28,10547.0,4565037.4,0.38,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SJLIC
SJLIC,SuryaJyoti Life Insurance Company Limited,Insurance,2025-09-02,431.1,439.0,431.1,433.64,9682.0,4196075.5,-0.15,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SJLIC
SJLIC,SuryaJyoti Life Insurance Company Limited,Insurance,2025-09-03,425.0,435.0,425.0,431.62,12249.0,5288083.9,-0.47,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SJLIC
SJLIC,SuryaJyoti Life Insurance Company Limited,Insurance,2025-09-04,432.0,432.0,428.0,430.95,22855.0,9836051.2,-0.16,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SJLIC
SJLIC,SuryaJyoti Life Insurance Company Limited,Insurance,2025-09-07,425.2,434.4,425.2,430.2,13354.0,5735910.9,-0.17,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SJLIC
SJLIC,SuryaJyoti Life Insurance Company Limited,Insurance,2025-09-08,430.0,430.0,425.0,426.25,15429.0,6584642.9,-0.92,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SJLIC
SJLIC,SuryaJyoti Life Insurance Company Limited,Insurance,2025-09-18,418.0,418.0,395.0,397.0,3847.0,1537587.7,-6.86,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SJLIC
SJLIC,SuryaJyoti Life Insurance Company Limited,Insurance,2025-09-21,390.0,420.4,390.0,417.93,48136.0,19592471.4,5.27,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SJLIC
SJLIC,SuryaJyoti Life Insurance Company Limited,Insurance,2025-09-23,420.0,434.9,411.0,429.0,21740.0,9293630.9,2.65,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SJLIC
SJLIC,SuryaJyoti Life Insurance Company Limited,Insurance,2025-09-24,424.0,434.0,424.0,424.0,34496.0,14764725.4,-1.17,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SJLIC
SJLIC,SuryaJyoti Life Insurance Company Limited,Insurance,2025-09-25,419.3,434.0,419.1,426.4,6106.0,2609486.0,0.57,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SJLIC
SJLIC,SuryaJyoti Life Insurance Company Limited,Insurance,2025-09-28,426.5,432.0,424.1,431.9,8190.0,3504171.6,1.29,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SJLIC
SJLIC,SuryaJyoti Life Insurance Company Limited,Insurance,2025-10-07,431.9,431.9,420.0,424.0,17848.0,7560281.8,-1.83,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SJLIC
SJLIC,SuryaJyoti Life Insurance Company Limited,Insurance,2025-10-08,420.0,423.0,410.0,412.0,26854.0,11130928.8,-2.83,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SJLIC
SJLIC,SuryaJyoti Life Insurance Company Limited,Insurance,2025-10-09,420.0,441.0,414.0,417.0,39084.0,16415784.3,1.21,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SJLIC
SJLIC,SuryaJyoti Life Insurance Company Limited,Insurance,2025-10-12,412.0,416.8,410.0,412.0,13987.0,5757958.3,-1.2,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SJLIC
SJLIC,SuryaJyoti Life Insurance Company Limited,Insurance,2025-10-13,408.1,420.0,405.0,419.9,14257.0,5910805.8,1.92,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SJLIC
SJLIC,SuryaJyoti Life Insurance Company Limited,Insurance,2025-10-14,419.0,420.0,410.0,414.6,22999.0,9494363.1,-1.26,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SJLIC
SJLIC,SuryaJyoti Life Insurance Company Limited,Insurance,2025-10-15,408.0,414.0,407.1,409.0,25120.0,10309704.7,-1.35,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SJLIC
SJLIC,SuryaJyoti Life Insurance Company Limited,Insurance,2025-10-16,412.5,413.0,401.1,407.0,17710.0,7178519.9,-0.49,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SJLIC
SJLIC,SuryaJyoti Life Insurance Company Limited,Insurance,2025-10-19,403.0,411.0,403.0,410.0,5525.0,2248056.2,0.74,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SJLIC
SJLIC,SuryaJyoti Life Insurance Company Limited,Insurance,2025-10-26,410.0,410.5,402.6,407.0,14183.0,5752878.4,-0.73,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SJLIC
SJLIC,SuryaJyoti Life Insurance Company Limited,Insurance,2025-10-28,404.0,424.0,404.0,420.6,16190.0,6753151.0,3.34,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SJLIC
SJLIC,SuryaJyoti Life Insurance Company Limited,Insurance,2025-10-29,424.7,425.0,416.0,418.9,11740.0,4919306.1,-0.4,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SJLIC
SJLIC,SuryaJyoti Life Insurance Company Limited,Insurance,2025-10-30,412.3,433.4,412.1,429.0,35663.0,15201886.5,2.41,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SJLIC
SJLIC,SuryaJyoti Life Insurance Company Limited,Insurance,2025-11-02,425.0,450.7,425.0,445.0,68128.0,29991848.0,3.73,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SJLIC
SJLIC,SuryaJyoti Life Insurance Company Limited,Insurance,2025-11-03,441.0,452.0,436.6,439.1,26307.0,11649456.0,-1.33,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SJLIC
SJLIC,SuryaJyoti Life Insurance Company Limited,Insurance,2025-11-04,439.0,442.0,432.4,434.0,15666.0,6827165.5,-1.16,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SJLIC
SJLIC,SuryaJyoti Life Insurance Company Limited,Insurance,2025-11-05,430.0,438.0,428.2,438.0,20480.0,8869587.8,0.92,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SJLIC
SJLIC,SuryaJyoti Life Insurance Company Limited,Insurance,2025-11-06,433.1,440.0,430.0,434.9,13981.0,6057048.7,-0.71,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SJLIC
SJLIC,SuryaJyoti Life Insurance Company Limited,Insurance,2025-11-09,429.0,434.0,427.0,433.0,9051.0,3888703.6,-0.44,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SJLIC
