symbol,company_name,sector,date,open,high,low,close,volume,turnover,change_percent,source,source_url
NTC,Nepal Doorsanchar Company Limited,Others,2011-11-20,429.0,430.0,425.0,430.0,1465.0,625305.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NTC
NTC,Nepal Doorsanchar Company Limited,Others,2011-11-21,430.0,430.0,430.0,430.0,150.0,64500.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NTC
NTC,Nepal Doorsanchar Company Limited,Others,2011-11-22,430.0,430.0,428.0,430.0,800.0,343400.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NTC
NTC,Nepal Doorsanchar Company Limited,Others,2011-11-23,430.0,429.0,421.0,421.0,935.0,395375.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NTC
NTC,Nepal Doorsanchar Company Limited,Others,2011-11-24,421.0,421.0,421.0,421.0,1350.0,568350.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NTC
NTC,Nepal Doorsanchar Company Limited,Others,2011-11-27,421.0,425.0,419.0,420.0,1325.0,560105.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NTC
NTC,Nepal Doorsanchar Company Limited,Others,2011-11-28,420.0,421.0,418.0,420.0,990.0,415860.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NTC
NTC,Nepal Doorsanchar Company Limited,Others,2011-12-01,425.0,425.0,420.0,421.0,1100.0,463200.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NTC
NTC,Nepal Doorsanchar Company Limited,Others,2011-12-04,421.0,426.0,415.0,422.0,1060.0,446570.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NTC
NTC,Nepal Doorsanchar Company Limited,Others,2011-12-05,422.0,425.0,415.0,419.0,5810.0,2433110.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NTC
NTC,Nepal Doorsanchar Company Limited,Others,2011-12-06,419.0,425.0,421.0,421.0,2260.0,952810.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NTC
NTC,Nepal Doorsanchar Company Limited,Others,2011-12-07,421.0,426.0,424.0,425.0,1635.0,695065.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NTC
NTC,Nepal Doorsanchar Company Limited,Others,2011-12-08,425.0,430.0,427.0,428.0,710.0,303600.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NTC
NTC,Nepal Doorsanchar Company Limited,Others,2011-12-11,428.0,429.0,425.0,425.0,820.0,350030.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NTC
NTC,Nepal Doorsanchar Company Limited,Others,2011-12-12,425.0,425.0,422.0,425.0,200.0,84700.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NTC
NTC,Nepal Doorsanchar Company Limited,Others,2011-12-13,425.0,427.0,419.0,419.0,1410.0,593990.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NTC
NTC,Nepal Doorsanchar Company Limited,Others,2011-12-14,419.0,425.0,417.0,425.0,1710.0,723650.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NTC
NTC,Nepal Doorsanchar Company Limited,Others,2011-12-15,425.0,427.0,423.0,425.0,625.0,265475.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NTC
NTC,Nepal Doorsanchar Company Limited,Others,2011-12-18,425.0,421.0,421.0,421.0,200.0,84200.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NTC
NTC,Nepal Doorsanchar Company Limited,Others,2011-12-20,421.0,424.0,420.0,420.0,1205.0,507155.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NTC
NTC,Nepal Doorsanchar Company Limited,Others,2011-12-21,420.0,426.0,420.0,420.0,550.0,231300.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NTC
NTC,Nepal Doorsanchar Company Limited,Others,2011-12-26,420.0,420.0,420.0,420.0,760.0,319200.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NTC
NTC,Nepal Doorsanchar Company Limited,Others,2011-12-27,420.0,421.0,421.0,421.0,295.0,124195.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NTC
NTC,Nepal Doorsanchar Company Limited,Others,2011-12-28,421.0,426.0,419.0,423.0,300.0,126800.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NTC
NTC,Nepal Doorsanchar Company Limited,Others,2011-12-29,423.0,422.0,420.0,422.0,600.0,252400.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NTC
NTC,Nepal Doorsanchar Company Limited,Others,2012-01-01,422.0,430.0,425.0,427.0,450.0,191780.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NTC
NTC,Nepal Doorsanchar Company Limited,Others,2012-01-02,427.0,436.0,420.0,436.0,1055.0,452860.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NTC
NTC,Nepal Doorsanchar Company Limited,Others,2012-01-03,436.0,435.0,430.0,435.0,1270.0,546250.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NTC
NTC,Nepal Doorsanchar Company Limited,Others,2012-01-04,435.0,437.0,425.0,425.0,2020.0,865940.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NTC
NTC,Nepal Doorsanchar Company Limited,Others,2012-01-05,425.0,435.0,420.0,435.0,1040.0,440100.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NTC
NTC,Nepal Doorsanchar Company Limited,Others,2012-01-08,435.0,434.0,427.0,427.0,1885.0,812555.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NTC
NTC,Nepal Doorsanchar Company Limited,Others,2012-01-09,427.0,437.0,424.0,430.0,2855.0,1226265.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NTC
NTC,Nepal Doorsanchar Company Limited,Others,2012-01-10,435.0,446.0,435.0,438.0,2310.0,1010520.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NTC
NTC,Nepal Doorsanchar Company Limited,Others,2012-01-11,438.0,440.0,433.0,439.0,2800.0,1223400.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NTC
NTC,Nepal Doorsanchar Company Limited,Others,2012-01-12,439.0,440.0,438.0,439.0,650.0,285300.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NTC
NTC,Nepal Doorsanchar Company Limited,Others,2012-01-16,439.0,443.0,440.0,443.0,2205.0,973110.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NTC
NTC,Nepal Doorsanchar Company Limited,Others,2012-01-17,443.0,448.0,448.0,448.0,100.0,44800.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NTC
NTC,Nepal Doorsanchar Company Limited,Others,2012-01-18,448.0,450.0,440.0,440.0,1100.0,485400.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NTC
NTC,Nepal Doorsanchar Company Limited,Others,2012-01-19,440.0,440.0,438.0,438.0,1260.0,552880.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NTC
NTC,Nepal Doorsanchar Company Limited,Others,2012-01-22,438.0,444.0,435.0,444.0,385.0,167665.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NTC
NTC,Nepal Doorsanchar Company Limited,Others,2012-01-23,444.0,438.0,435.0,437.0,875.0,381500.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NTC
NTC,Nepal Doorsanchar Company Limited,Others,2012-01-25,437.0,438.0,434.0,436.0,980.0,426020.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NTC
NTC,Nepal Doorsanchar Company Limited,Others,2012-01-26,436.0,436.0,436.0,436.0,1490.0,649640.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NTC
NTC,Nepal Doorsanchar Company Limited,Others,2012-01-29,436.0,439.0,432.0,436.0,6345.0,2747225.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NTC
NTC,Nepal Doorsanchar Company Limited,Others,2012-01-31,436.0,439.0,434.0,436.0,950.0,414700.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NTC
NTC,Nepal Doorsanchar Company Limited,Others,2012-02-01,436.0,439.0,434.0,439.0,410.0,178790.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NTC
NTC,Nepal Doorsanchar Company Limited,Others,2012-02-02,439.0,438.0,431.0,438.0,2000.0,866500.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NTC
NTC,Nepal Doorsanchar Company Limited,Others,2012-02-05,438.0,435.0,435.0,435.0,600.0,261000.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NTC
NTC,Nepal Doorsanchar Company Limited,Others,2012-02-06,435.0,436.0,433.0,433.0,4205.0,1825510.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NTC
NTC,Nepal Doorsanchar Company Limited,Others,2012-02-07,433.0,438.0,433.0,433.0,2280.0,989140.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NTC
NTC,Nepal Doorsanchar Company Limited,Others,2012-02-08,433.0,436.0,431.0,434.0,2770.0,1201770.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NTC
NTC,Nepal Doorsanchar Company Limited,Others,2012-02-09,434.0,436.0,433.0,435.0,1090.0,473930.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NTC
NTC,Nepal Doorsanchar Company Limited,Others,2012-02-12,435.0,435.0,433.0,433.0,2375.0,1030605.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NTC
NTC,Nepal Doorsanchar Company Limited,Others,2012-02-13,433.0,437.0,433.0,435.0,1630.0,708720.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NTC
NTC,Nepal Doorsanchar Company Limited,Others,2012-02-14,435.0,437.0,435.0,435.0,1965.0,855895.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NTC
NTC,Nepal Doorsanchar Company Limited,Others,2012-02-15,435.0,437.0,435.0,436.0,4900.0,2136000.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NTC
NTC,Nepal Doorsanchar Company Limited,Others,2012-02-16,436.0,441.0,438.0,441.0,855.0,375900.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NTC
NTC,Nepal Doorsanchar Company Limited,Others,2012-02-21,441.0,443.0,441.0,441.0,1835.0,811785.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NTC
NTC,Nepal Doorsanchar Company Limited,Others,2012-02-23,441.0,446.0,444.0,445.0,10500.0,4677300.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NTC
NTC,Nepal Doorsanchar Company Limited,Others,2012-02-26,445.0,444.0,440.0,444.0,2700.0,1193450.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NTC
NTC,Nepal Doorsanchar Company Limited,Others,2012-02-27,444.0,447.0,443.0,445.0,1260.0,559100.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NTC
NTC,Nepal Doorsanchar Company Limited,Others,2012-02-28,445.0,453.0,445.0,447.0,3350.0,1501820.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NTC
NTC,Nepal Doorsanchar Company Limited,Others,2012-02-29,447.0,449.0,447.0,449.0,1195.0,534590.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NTC
NTC,Nepal Doorsanchar Company Limited,Others,2012-03-01,449.0,452.0,447.0,452.0,2660.0,1196470.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NTC
NTC,Nepal Doorsanchar Company Limited,Others,2012-03-04,452.0,453.0,447.0,447.0,1640.0,735500.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NTC
NTC,Nepal Doorsanchar Company Limited,Others,2012-03-05,447.0,452.0,448.0,448.0,1375.0,616500.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NTC
NTC,Nepal Doorsanchar Company Limited,Others,2012-03-06,448.0,447.0,447.0,447.0,445.0,198915.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NTC
NTC,Nepal Doorsanchar Company Limited,Others,2012-03-11,447.0,453.0,447.0,452.0,4930.0,2214870.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NTC
NTC,Nepal Doorsanchar Company Limited,Others,2012-03-12,452.0,454.0,447.0,449.0,5030.0,2262120.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NTC
NTC,Nepal Doorsanchar Company Limited,Others,2012-03-13,449.0,451.0,445.0,450.0,10610.0,4744920.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NTC
NTC,Nepal Doorsanchar Company Limited,Others,2012-03-14,450.0,453.0,448.0,450.0,2655.0,1192385.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NTC
NTC,Nepal Doorsanchar Company Limited,Others,2012-03-15,450.0,455.0,448.0,448.0,2280.0,1028740.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NTC
NTC,Nepal Doorsanchar Company Limited,Others,2012-03-18,448.0,440.0,404.0,405.0,2055.0,845500.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NTC
NTC,Nepal Doorsanchar Company Limited,Others,2012-03-19,405.0,406.0,404.0,404.0,600.0,243000.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NTC
NTC,Nepal Doorsanchar Company Limited,Others,2012-03-20,404.0,405.0,400.0,400.0,1200.0,480500.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NTC
NTC,Nepal Doorsanchar Company Limited,Others,2012-03-21,400.0,405.0,404.0,405.0,640.0,259060.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NTC
NTC,Nepal Doorsanchar Company Limited,Others,2012-03-25,405.0,407.0,404.0,406.0,1070.0,433590.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NTC
NTC,Nepal Doorsanchar Company Limited,Others,2012-03-26,406.0,405.0,401.0,405.0,800.0,323000.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NTC
NTC,Nepal Doorsanchar Company Limited,Others,2012-03-27,405.0,406.0,401.0,406.0,1160.0,470460.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NTC
NTC,Nepal Doorsanchar Company Limited,Others,2012-03-28,406.0,408.0,405.0,406.0,520.0,211220.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NTC
NTC,Nepal Doorsanchar Company Limited,Others,2012-03-29,406.0,406.0,400.0,400.0,715.0,287120.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NTC
NTC,Nepal Doorsanchar Company Limited,Others,2012-04-01,400.0,403.0,402.0,402.0,450.0,181000.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NTC
NTC,Nepal Doorsanchar Company Limited,Others,2012-04-02,402.0,403.0,402.0,402.0,930.0,374040.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NTC
NTC,Nepal Doorsanchar Company Limited,Others,2012-04-03,402.0,403.0,401.0,401.0,700.0,281200.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NTC
NTC,Nepal Doorsanchar Company Limited,Others,2012-04-04,401.0,403.0,396.0,402.0,1135.0,453990.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NTC
NTC,Nepal Doorsanchar Company Limited,Others,2012-04-05,402.0,404.0,404.0,404.0,100.0,40400.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NTC
NTC,Nepal Doorsanchar Company Limited,Others,2012-04-08,404.0,404.0,404.0,404.0,795.0,321180.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NTC
NTC,Nepal Doorsanchar Company Limited,Others,2012-04-09,404.0,406.0,404.0,404.0,2290.0,925560.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NTC
NTC,Nepal Doorsanchar Company Limited,Others,2012-04-10,404.0,406.0,402.0,404.0,2710.0,1093060.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NTC
NTC,Nepal Doorsanchar Company Limited,Others,2012-04-11,404.0,414.0,406.0,407.0,2200.0,898300.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NTC
NTC,Nepal Doorsanchar Company Limited,Others,2012-04-12,407.0,416.0,405.0,414.0,2945.0,1201375.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NTC
NTC,Nepal Doorsanchar Company Limited,Others,2012-04-15,414.0,430.0,415.0,430.0,2375.0,1009895.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NTC
NTC,Nepal Doorsanchar Company Limited,Others,2012-04-16,430.0,473.0,438.0,473.0,1140.0,529010.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NTC
NTC,Nepal Doorsanchar Company Limited,Others,2012-04-17,473.0,510.0,438.0,438.0,8720.0,4263700.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NTC
NTC,Nepal Doorsanchar Company Limited,Others,2012-04-18,438.0,462.0,436.0,452.0,8350.0,3754760.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NTC
NTC,Nepal Doorsanchar Company Limited,Others,2012-04-19,452.0,465.0,450.0,455.0,3590.0,1630560.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NTC
NTC,Nepal Doorsanchar Company Limited,Others,2012-04-22,455.0,466.0,458.0,466.0,5165.0,2396230.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NTC
NTC,Nepal Doorsanchar Company Limited,Others,2012-04-24,466.0,483.0,475.0,476.0,1125.0,536740.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NTC
NTC,Nepal Doorsanchar Company Limited,Others,2012-04-25,476.0,494.0,485.0,486.0,1230.0,600400.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NTC
NTC,Nepal Doorsanchar Company Limited,Others,2012-04-26,486.0,530.0,468.0,521.0,13900.0,6903700.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NTC
NTC,Nepal Doorsanchar Company Limited,Others,2012-04-29,521.0,525.0,491.0,520.0,7160.0,3644475.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NTC
NTC,Nepal Doorsanchar Company Limited,Others,2012-04-30,520.0,510.0,490.0,495.0,5790.0,2850400.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NTC
NTC,Nepal Doorsanchar Company Limited,Others,2012-05-02,495.0,486.0,450.0,450.0,1435.0,676200.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NTC
NTC,Nepal Doorsanchar Company Limited,Others,2012-05-03,450.0,459.0,459.0,459.0,30.0,13770.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NTC
NTC,Nepal Doorsanchar Company Limited,Others,2012-05-07,459.0,499.0,481.0,499.0,310.0,153070.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NTC
NTC,Nepal Doorsanchar Company Limited,Others,2012-05-08,499.0,520.0,500.0,508.0,15200.0,7703970.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NTC
NTC,Nepal Doorsanchar Company Limited,Others,2012-05-09,508.0,508.0,491.0,500.0,7710.0,3850260.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NTC
NTC,Nepal Doorsanchar Company Limited,Others,2012-05-10,500.0,505.0,476.0,495.0,3970.0,1944630.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NTC
NTC,Nepal Doorsanchar Company Limited,Others,2012-05-13,495.0,486.0,463.0,473.0,6395.0,3024945.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NTC
NTC,Nepal Doorsanchar Company Limited,Others,2012-05-14,473.0,470.0,457.0,464.0,4650.0,2151840.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NTC
NTC,Nepal Doorsanchar Company Limited,Others,2012-05-15,464.0,473.0,473.0,473.0,50.0,23650.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NTC
NTC,Nepal Doorsanchar Company Limited,Others,2012-05-16,473.0,520.0,482.0,520.0,1280.0,660750.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NTC
NTC,Nepal Doorsanchar Company Limited,Others,2012-05-17,520.0,540.0,502.0,507.0,4810.0,2511080.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NTC
NTC,Nepal Doorsanchar Company Limited,Others,2012-05-20,507.0,501.0,479.0,490.0,1260.0,618660.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NTC
NTC,Nepal Doorsanchar Company Limited,Others,2012-05-21,490.0,500.0,490.0,498.0,2675.0,1318300.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NTC
NTC,Nepal Doorsanchar Company Limited,Others,2012-05-22,498.0,500.0,485.0,485.0,1530.0,749210.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NTC
NTC,Nepal Doorsanchar Company Limited,Others,2012-05-23,485.0,476.0,460.0,460.0,1540.0,715300.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NTC
NTC,Nepal Doorsanchar Company Limited,Others,2012-05-24,460.0,488.0,462.0,481.0,1545.0,741790.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NTC
NTC,Nepal Doorsanchar Company Limited,Others,2012-05-27,481.0,501.0,479.0,501.0,4270.0,2068510.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NTC
NTC,Nepal Doorsanchar Company Limited,Others,2012-05-29,501.0,491.0,451.0,451.0,1290.0,584370.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NTC
NTC,Nepal Doorsanchar Company Limited,Others,2012-05-30,451.0,443.0,427.0,438.0,8335.0,3629055.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NTC
NTC,Nepal Doorsanchar Company Limited,Others,2012-05-31,438.0,472.0,435.0,451.0,3540.0,1602940.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NTC
NTC,Nepal Doorsanchar Company Limited,Others,2012-06-03,451.0,496.0,460.0,488.0,1240.0,576930.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NTC
NTC,Nepal Doorsanchar Company Limited,Others,2012-06-04,488.0,479.0,461.0,472.0,1900.0,895660.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NTC
NTC,Nepal Doorsanchar Company Limited,Others,2012-06-05,472.0,470.0,460.0,465.0,805.0,372300.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NTC
NTC,Nepal Doorsanchar Company Limited,Others,2012-06-06,465.0,462.0,456.0,457.0,2320.0,1063090.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NTC
NTC,Nepal Doorsanchar Company Limited,Others,2012-06-07,457.0,474.0,463.0,463.0,785.0,365415.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NTC
NTC,Nepal Doorsanchar Company Limited,Others,2012-06-10,463.0,465.0,458.0,461.0,1100.0,507200.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NTC
NTC,Nepal Doorsanchar Company Limited,Others,2012-06-11,461.0,467.0,460.0,465.0,1450.0,671160.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NTC
NTC,Nepal Doorsanchar Company Limited,Others,2012-06-12,465.0,474.0,465.0,468.0,450.0,210800.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NTC
